"Date","Video Views","Profile Views","Likes","Comments","Shares"
"18 September","1541","14","74","-1","29"
"19 September","1377","13","63","0","22"
"20 September","1418","19","53","0","16"
"21 September","1318","19","60","-3","18"
"22 September","1068","15","48","0","27"
"23 September","1216","24","105","1","29"
"24 September","1068","20","50","0","9"
"25 September","1297","12","49","2","15"
"26 September","4027","66","262","9","120"
"27 September","7668","115","628","4","178"
"28 September","2578","33","173","2","52"
"29 September","1614","20","65","1","20"
"30 September","1099","13","49","0","7"
"1 October","1092","9","37","-1","13"
"2 October","1233","18","53","1","10"
"3 October","2148","36","149","3","49"
"4 October","1499","14","55","0","9"
"5 October","1271","27","46","1","22"
"6 October","1234","25","73","5","22"
"7 October","975","15","32","2","9"
"8 October","927","18","27","0","6"
"9 October","846","9","21","0","26"
"10 October","2169","36","121","5","39"
"11 October","1513","10","51","1","16"
"12 October","1402","8","50","1","10"
"13 October","999","14","43","1","13"
"14 October","54493","702","5339","62","1868"
"15 October","44745","634","4527","35","1386"
"16 October","20605","270","1920","13","577"
"17 October","10350","195","987","5","343"
"18 October","4648","82","327","0","119"
"19 October","3329","59","198","5","65"
"20 October","4580","103","396","1","141"
"21 October","3408","43","284","3","89"
"22 October","3662","53","277","1","102"
"23 October","3890","65","308","0","117"
"24 October","3859","52","275","1","115"
"25 October","6553","69","488","0","166"
"26 October","3444","37","227","1","84"
"27 October","2462","24","158","-1","57"
"28 October","2267","29","130","0","51"
"29 October","3552","58","234","1","80"
"30 October","8424","99","444","9","228"
"31 October","3081","39","148","3","64"
"1 November","3474","38","171","0","53"
"2 November","3764","57","218","3","81"
"3 November","3276","34","224","5","57"
"4 November","2997","45","208","3","82"
"5 November","4704","68","407","1","119"
"6 November","2621","29","151","-1","55"
"7 November","2161","26","108","1","34"
"8 November","2313","33","123","0","43"
"9 November","2346","17","118","0","43"
"10 November","1763","17","93","1","35"
"11 November","1821","22","84","0","35"
"12 November","2376","50","144","3","59"
"13 November","2015","18","126","2","49"
"14 November","2053","31","92","1","27"
"15 November","2819","38","123","3","22"
"16 November","123077","822","6393","55","7557"
"17 November","89658","632","4930","23","4328"
"18 November","19878","154","964","11","781"
"19 November","7662","60","301","3","223"
"20 November","3941","44","159","2","92"
"21 November","3316","35","114","1","80"
"22 November","3589","39","143","0","98"
"23 November","3077","31","121","0","53"
"24 November","2481","15","95","0","47"
"25 November","1959","20","64","0","35"
"26 November","1693","16","72","0","28"
"27 November","1741","24","55","1","41"
"28 November","1732","17","50","0","19"
"29 November","2093","27","69","0","35"
"30 November","2028","31","86","1","28"
"1 December","2052","27","88","0","37"
"2 December","1661","16","60","0","23"
"3 December","1667","19","73","-1","37"
"4 December","1786","20","69","0","18"
"5 December","1747","21","73","-2","35"
"6 December","2071","18","75","1","27"
"7 December","2226","21","90","0","81"
"8 December","1793","27","82","0","38"
"9 December","1717","19","79","0","21"
"10 December","1496","15","47","0","22"
"11 December","1751","18","67","1","43"
"12 December","1865","18","79","1","33"
"13 December","2046","29","65","-2","28"
"14 December","2487","48","107","1","26"
"15 December","1504","15","54","0","13"
"16 December","1488","9","46","-1","30"
"17 December","1665","23","52","2","23"
"18 December","1559","20","43","-1","27"
"19 December","1691","15","62","0","17"
"20 December","1756","18","49","0","16"
"21 December","1840","21","58","0","32"
"22 December","1592","18","74","2","15"
"23 December","1495","10","50","0","13"
"24 December","1281","16","37","1","7"
"25 December","1114","10","42","1","19"
"26 December","1396","13","42","1","17"
"27 December","1505","14","35","1","12"
"28 December","1482","19","46","0","18"
"29 December","1613","17","45","0","10"
"30 December","1457","11","37","1","13"
"31 December","1268","17","28","-2","16"
"1 January","1466","26","33","1","8"
"2 January","1599","12","37","0","16"
"3 January","1543","22","38","0","13"
"4 January","1380","17","38","1","20"
"5 January","2146","35","82","5","14"
"6 January","3624","79","206","4","55"
"7 January","3603","92","238","9","53"
"8 January","2596","58","158","9","65"
"9 January","1923","35","98","3","21"
